Calibration,118,
"Latitude (decimal degrees) +, unless in Southern Hemisphere",36.68207,
"Longitude (decimal degrees), include -, unless in Far East",-121.77542,
Elevation (m),30,
Azimuthal orientation (deg from True North),294,
binned (volume per interval) or unbinned (time of each tip),unbinned,
time interval if binned (minutes),,
"mesh coating type, if any.",,
ongoing notes and visit history,Time is Pacific Daylight Savings time,
,,
Date,Time,Liters
8/2/2019,4:11:30 AM,0.008474576
8/2/2019,4:13:50 AM,0.008474576
8/2/2019,4:18:15 AM,0.008474576
8/2/2019,4:20:45 AM,0.008474576
8/2/2019,4:24:10 AM,0.008474576
8/2/2019,4:26:05 AM,0.008474576
8/2/2019,4:29:45 AM,0.008474576
8/2/2019,4:31:35 AM,0.008474576
8/2/2019,4:35:10 AM,0.008474576
8/2/2019,4:37:10 AM,0.008474576
8/2/2019,4:41:05 AM,0.008474576
8/2/2019,4:43:15 AM,0.008474576
8/2/2019,4:47:40 AM,0.008474576
8/2/2019,4:50:05 AM,0.008474576
8/2/2019,4:55:10 AM,0.008474576
8/2/2019,4:57:55 AM,0.008474576
8/2/2019,5:03:40 AM,0.008474576
8/2/2019,5:07:05 AM,0.008474576
8/2/2019,5:14:40 AM,0.008474576
8/2/2019,5:19:30 AM,0.008474576
8/2/2019,5:27:05 AM,0.008474576
8/2/2019,5:31:10 AM,0.008474576
8/2/2019,5:37:50 AM,0.008474576
8/2/2019,5:41:20 AM,0.008474576
8/2/2019,5:47:50 AM,0.008474576
8/2/2019,5:51:30 AM,0.008474576
8/2/2019,5:58:05 AM,0.008474576
8/2/2019,6:02:00 AM,0.008474576
8/2/2019,6:09:10 AM,0.008474576
8/2/2019,6:14:00 AM,0.008474576
8/2/2019,6:25:05 AM,0.008474576
8/2/2019,6:30:50 AM,0.008474576
8/2/2019,6:38:40 AM,0.008474576
8/2/2019,6:43:20 AM,0.008474576
8/2/2019,6:51:10 AM,0.008474576
8/2/2019,6:56:45 AM,0.008474576
8/2/2019,7:06:30 AM,0.008474576
8/2/2019,7:13:20 AM,0.008474576
8/2/2019,7:25:30 AM,0.008474576
8/2/2019,7:34:30 AM,0.008474576
8/2/2019,7:47:00 AM,0.008474576
8/2/2019,7:52:00 AM,0.008474576
8/2/2019,7:59:30 AM,0.008474576
8/2/2019,8:03:35 AM,0.008474576
8/2/2019,8:10:00 AM,0.008474576
8/2/2019,8:13:55 AM,0.008474576
8/2/2019,8:20:25 AM,0.008474576
8/2/2019,8:24:20 AM,0.008474576
8/2/2019,8:31:15 AM,0.008474576
8/2/2019,8:35:30 AM,0.008474576
8/2/2019,8:42:50 AM,0.008474576
8/2/2019,8:47:55 AM,0.008474576
8/2/2019,9:16:25 AM,0.008474576
8/3/2019,3:59:30 AM,0.008474576
8/3/2019,4:00:15 AM,0.008474576
8/3/2019,4:02:20 AM,0.008474576
8/3/2019,4:05:35 AM,0.008474576
8/3/2019,4:07:30 AM,0.008474576
8/3/2019,4:11:05 AM,0.008474576
8/3/2019,4:12:55 AM,0.008474576
8/3/2019,4:16:45 AM,0.008474576
8/3/2019,4:18:45 AM,0.008474576
8/3/2019,4:22:35 AM,0.008474576
8/3/2019,4:24:40 AM,0.008474576
8/3/2019,4:28:50 AM,0.008474576
8/3/2019,4:31:35 AM,0.008474576
8/3/2019,4:37:35 AM,0.008474576
8/3/2019,4:41:05 AM,0.008474576
8/3/2019,4:45:50 AM,0.008474576
8/3/2019,4:48:35 AM,0.008474576
8/3/2019,4:53:10 AM,0.008474576
8/3/2019,4:55:40 AM,0.008474576
8/3/2019,4:59:40 AM,0.008474576
8/3/2019,5:02:00 AM,0.008474576
8/3/2019,5:05:25 AM,0.008474576
8/3/2019,5:07:20 AM,0.008474576
8/3/2019,5:10:40 AM,0.008474576
8/3/2019,5:12:40 AM,0.008474576
8/3/2019,5:16:00 AM,0.008474576
8/3/2019,5:18:05 AM,0.008474576
8/3/2019,5:21:25 AM,0.008474576
8/3/2019,5:23:25 AM,0.008474576
8/3/2019,5:26:45 AM,0.008474576
8/3/2019,5:28:40 AM,0.008474576
8/3/2019,5:32:05 AM,0.008474576
8/3/2019,5:34:05 AM,0.008474576
8/3/2019,5:37:50 AM,0.008474576
8/3/2019,5:40:05 AM,0.008474576
8/3/2019,5:44:05 AM,0.008474576
8/3/2019,5:46:35 AM,0.008474576
8/3/2019,5:51:05 AM,0.008474576
8/3/2019,5:53:50 AM,0.008474576
8/3/2019,5:58:35 AM,0.008474576
8/3/2019,6:01:10 AM,0.008474576
8/3/2019,6:05:40 AM,0.008474576
8/3/2019,6:08:30 AM,0.008474576
8/3/2019,6:13:10 AM,0.008474576
8/3/2019,6:15:50 AM,0.008474576
8/3/2019,6:20:30 AM,0.008474576
8/3/2019,6:23:05 AM,0.008474576
8/3/2019,6:27:40 AM,0.008474576
8/3/2019,6:30:30 AM,0.008474576
8/3/2019,6:35:30 AM,0.008474576
8/3/2019,6:38:40 AM,0.008474576
8/3/2019,6:45:30 AM,0.008474576
8/3/2019,6:49:45 AM,0.008474576
8/3/2019,6:56:45 AM,0.008474576
8/3/2019,7:00:35 AM,0.008474576
8/3/2019,7:07:15 AM,0.008474576
8/3/2019,7:11:30 AM,0.008474576
8/3/2019,7:19:35 AM,0.008474576
8/3/2019,7:24:55 AM,0.008474576
8/3/2019,7:36:30 AM,0.008474576
8/3/2019,7:45:40 AM,0.008474576
8/3/2019,8:37:10 AM,0.008474576
8/4/2019,1:32:20 AM,0.008474576
8/4/2019,1:32:45 AM,0.008474576
8/4/2019,1:33:50 AM,0.008474576
8/4/2019,1:36:10 AM,0.008474576
8/4/2019,1:37:20 AM,0.008474576
8/4/2019,1:39:10 AM,0.008474576
8/4/2019,1:40:15 AM,0.008474576
8/4/2019,1:42:15 AM,0.008474576
8/4/2019,1:43:25 AM,0.008474576
8/4/2019,1:45:15 AM,0.008474576
8/4/2019,1:46:25 AM,0.008474576
8/4/2019,1:48:25 AM,0.008474576
8/4/2019,1:49:40 AM,0.008474576
8/4/2019,1:51:40 AM,0.008474576
8/4/2019,1:53:00 AM,0.008474576
8/4/2019,1:55:05 AM,0.008474576
8/4/2019,1:56:25 AM,0.008474576
8/4/2019,1:58:40 AM,0.008474576
8/4/2019,2:00:05 AM,0.008474576
8/4/2019,2:02:30 AM,0.008474576
8/4/2019,2:04:05 AM,0.008474576
8/4/2019,2:06:40 AM,0.008474576
8/4/2019,2:08:15 AM,0.008474576
8/4/2019,2:10:55 AM,0.008474576
8/4/2019,2:12:30 AM,0.008474576
8/4/2019,2:15:20 AM,0.008474576
8/4/2019,2:17:05 AM,0.008474576
8/4/2019,2:20:10 AM,0.008474576
8/4/2019,2:22:00 AM,0.008474576
8/4/2019,2:25:15 AM,0.008474576
8/4/2019,2:27:05 AM,0.008474576
8/4/2019,2:30:10 AM,0.008474576
8/4/2019,2:32:05 AM,0.008474576
8/4/2019,2:35:10 AM,0.008474576
8/4/2019,2:37:00 AM,0.008474576
8/4/2019,2:40:10 AM,0.008474576
8/4/2019,2:42:00 AM,0.008474576
